plate_id,well,sequencing_barcode
GEP00001_01,A1,no-barcode
GEP00001_01,B2,no-barcode
GEP00001_01,B3,no-barcode
GEP00001_01,B4,FLD0193
GEP00001_01,B5,FLD0194
GEP00001_01,B6,FLD0195
GEP00001_01,B7,FLD0196
GEP00001_01,B8,FLD0197
GEP00001_01,B9,FLD0198
GEP00001_01,B10,FLD0199
GEP00001_01,B11,FLD0200
GEP00001_01,C2,no-barcode
GEP00001_01,C3,no-barcode
GEP00001_01,C4,FLD0201
GEP00001_01,C5,FLD0202
GEP00001_01,C6,FLD0203
GEP00001_01,C7,FLD0204
GEP00001_01,C8,FLD0205
GEP00001_01,C9,FLD0206
GEP00001_01,C10,FLD0207
GEP00001_01,C11,FLD0208
GEP00001_01,D2,no-barcode
GEP00001_01,D3,no-barcode
GEP00001_01,D4,no-barcode
GEP00001_01,D5,no-barcode
GEP00001_01,D6,no-barcode
GEP00001_01,D7,no-barcode
GEP00001_01,D8,no-barcode
GEP00001_01,D9,no-barcode
GEP00001_01,D10,no-barcode
GEP00001_01,D11,no-barcode
GEP00001_01,E2,FLD0209
GEP00001_01,E3,FLD0210
GEP00001_01,E4,FLD0211
GEP00001_01,E5,FLD0212
GEP00001_01,E6,FLD0213
GEP00001_01,E7,FLD0214
GEP00001_01,E8,FLD0215
GEP00001_01,E9,FLD0216
GEP00001_01,E10,no-barcode
GEP00001_01,E11,no-barcode
GEP00001_01,F2,no-barcode
GEP00001_01,F3,no-barcode
GEP00001_01,F4,no-barcode
GEP00001_01,F5,no-barcode
GEP00001_01,F6,no-barcode
GEP00001_01,F7,no-barcode
GEP00001_01,F8,no-barcode
GEP00001_01,F9,no-barcode
GEP00001_01,F10,no-barcode
GEP00001_01,F11,no-barcode
GEP00001_01,G2,no-barcode
GEP00001_01,G3,no-barcode
GEP00001_01,G4,no-barcode
GEP00001_01,G5,no-barcode
GEP00001_01,G6,no-barcode
GEP00001_01,G7,no-barcode
GEP00001_01,G8,no-barcode
GEP00001_01,G9,no-barcode
GEP00001_01,G10,no-barcode
GEP00001_01,G11,no-barcode
GEP00001_01,H12,no-barcode
GEP00001_02,A1,no-barcode
GEP00001_02,B2,no-barcode
GEP00001_02,B3,no-barcode
GEP00001_02,B4,no-barcode
GEP00001_02,B5,no-barcode
GEP00001_02,B6,no-barcode
GEP00001_02,B7,no-barcode
GEP00001_02,B8,no-barcode
GEP00001_02,B9,no-barcode
GEP00001_02,B10,no-barcode
GEP00001_02,B11,no-barcode
GEP00001_02,C2,no-barcode
GEP00001_02,C3,no-barcode
GEP00001_02,C4,no-barcode
GEP00001_02,C5,no-barcode
GEP00001_02,C6,no-barcode
GEP00001_02,C7,no-barcode
GEP00001_02,C8,no-barcode
GEP00001_02,C9,no-barcode
GEP00001_02,C10,no-barcode
GEP00001_02,C11,no-barcode
GEP00001_02,D2,no-barcode
GEP00001_02,D3,no-barcode
GEP00001_02,D4,FLD0217
GEP00001_02,D5,FLD0218
GEP00001_02,D6,FLD0219
GEP00001_02,D7,FLD0220
GEP00001_02,D8,FLD0221
GEP00001_02,D9,FLD0222
GEP00001_02,D10,FLD0223
GEP00001_02,D11,FLD0224
GEP00001_02,E2,no-barcode
GEP00001_02,E3,no-barcode
GEP00001_02,E4,FLD0225
GEP00001_02,E5,FLD0226
GEP00001_02,E6,FLD0227
GEP00001_02,E7,FLD0228
GEP00001_02,E8,FLD0229
GEP00001_02,E9,FLD0230
GEP00001_02,E10,FLD0231
GEP00001_02,E11,FLD0232
