PlateID,SampleID,Target,Well,Channel700,Channel800
GED-PLA-00000001,GED-SAM-00000066,STAT3.3,F06,1718.610352,90.01062012
GED-PLA-00000001,GED-SAM-00000067,STAT3.3,F07,3967.497559,303.4040527
GED-PLA-00000001,GED-SAM-00000068,STAT3.3,F08,8769.820313,731.4716187
GED-PLA-00000001,GED-SAM-00000069,STAT3.3,F09,10422.86621,151.848999
GED-PLA-00000001,GED-SAM-00000070,STAT3.3,F10,3347.708496,93.34671021
GED-PLA-00000001,GED-SAM-00000071,STAT3.3,F11,9855.693359,189.8657837
GED-PLA-00000001,GED-SAM-00000072,EMPTY,F12,837.6196289,83.0307312
GED-PLA-00000001,GED-SAM-00000073,EMPTY,G01,743.6655273,77.95333862
GED-PLA-00000001,GED-SAM-00000074,STAT3.3,G02,7750.681152,137.5203552
GED-PLA-00000001,GED-SAM-00000075,STAT3.3,G03,8244.962891,122.142334
GED-PLA-00000001,GED-SAM-00000076,STAT3.3,G04,13782.31152,1080.899292
GED-PLA-00000001,GED-SAM-00000077,STAT3.3,G05,2857.887695,315.6153564
GED-PLA-00000001,GED-SAM-00000078,STAT3.3,G06,6912.288086,543.5892334
GED-PLA-00000001,GED-SAM-00000079,STAT3.3,G07,4589.102539,452.6670532
GED-PLA-00000001,GED-SAM-00000080,STAT3.3,G08,2418.959961,86.35302734
GED-PLA-00000001,GED-SAM-00000081,STAT3.3,G09,2070.705566,206.0387878
GED-PLA-00000001,GED-SAM-00000082,STAT3.3,G10,4449.17627,109.5151978
GED-PLA-00000001,GED-SAM-00000083,STAT3.3,G11,3425.427246,340.2165527
GED-PLA-00000001,GED-SAM-00000084,EMPTY,G12,710.5864258,67.11151123
GED-PLA-00000001,GED-SAM-00000085,EMPTY,H01,783.2177734,78.49510193
GED-PLA-00000001,GED-SAM-00000086,EMPTY,H02,778.9648438,75.43557739
GED-PLA-00000001,GED-SAM-00000087,EMPTY,H03,829.03125,83.80514526
GED-PLA-00000001,GED-SAM-00000088,EMPTY,H04,833.7998047,72.15106201
GED-PLA-00000001,GED-SAM-00000089,EMPTY,H05,753.2358398,69.51083374
GED-PLA-00000001,GED-SAM-00000090,EMPTY,H06,738.7138672,68.87188721
GED-PLA-00000001,GED-SAM-00000091,EMPTY,H07,729.0229492,69.12741089
GED-PLA-00000001,GED-SAM-00000092,EMPTY,H08,738.9545898,67.63357544
GED-PLA-00000001,GED-SAM-00000093,EMPTY,H09,740.9536133,70.0397644
GED-PLA-00000001,GED-SAM-00000094,EMPTY,H10,842.3017578,74.60638428
GED-PLA-00000001,GED-SAM-00000095,EMPTY,H11,726.6826172,67.13031006
GED-PLA-00000001,GED-SAM-00000096,CLONE3.CONTROL,H12,10889.89551,805.6034546
GED-PLA-00000002,GED-SAM-00000097,CLONE3.CONTROL,A01,10322.55078,801.3338013
GED-PLA-00000002,GED-SAM-00000098,EMPTY,A02,731.2216797,84.32446289
GED-PLA-00000002,GED-SAM-00000099,EMPTY,A03,706.4790039,76.78919983
GED-PLA-00000002,GED-SAM-00000100,EMPTY,A04,711.3422852,76.95889282
GED-PLA-00000002,GED-SAM-00000101,EMPTY,A05,723.1533203,81.78866577
GED-PLA-00000002,GED-SAM-00000102,EMPTY,A06,701.7626953,79.31420898
GED-PLA-00000002,GED-SAM-00000103,EMPTY,A07,713.2299805,76.96458435
GED-PLA-00000002,GED-SAM-00000104,EMPTY,A08,735.6557617,77.32513428
GED-PLA-00000002,GED-SAM-00000105,EMPTY,A09,719.6503906,74.89357758
GED-PLA-00000002,GED-SAM-00000106,EMPTY,A10,749.8886719,72.6896286
GED-PLA-00000002,GED-SAM-00000107,EMPTY,A11,746.2436523,69.12402344
GED-PLA-00000002,GED-SAM-00000108,EMPTY,A12,758.8725586,69.58380127
GED-PLA-00000002,GED-SAM-00000109,EMPTY,B01,687.7182617,74.83639526
GED-PLA-00000002,GED-SAM-00000110,STAT3.4,B02,6029.285156,566.0896606
GED-PLA-00000002,GED-SAM-00000111,STAT3.4,B03,10138.66211,518.7585449
GED-PLA-00000002,GED-SAM-00000112,STAT3.4,B04,3649.848633,383.2941284
GED-PLA-00000002,GED-SAM-00000113,STAT3.4,B05,1983.378418,86.54879761
GED-PLA-00000002,GED-SAM-00000114,STAT3.4,B06,10366.88477,777.4056396
GED-PLA-00000002,GED-SAM-00000115,STAT3.4,B07,2091.42627,87.0223999
GED-PLA-00000002,GED-SAM-00000116,STAT3.4,B08,5286.072754,497.9437256
GED-PLA-00000002,GED-SAM-00000117,STAT3.4,B09,15182.40039,149.3762817
GED-PLA-00000002,GED-SAM-00000118,STAT3.4,B10,8992.845703,897.0612793
GED-PLA-00000002,GED-SAM-00000119,STAT3.4,B11,5112.303223,494.5271606
