Label: RS JC
Metric: Phase Object Confluence (Percent)
Cell Type: plate 6
Passage: 1
Notes: 
Analysis Job: RS JC

Date Time	Elapsed	A1	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11	H12
14/01/2017 17:00:00	30	39.06785	43.06814	45.60431	42.88046	44.98986	47.49547	42.77613	44.04772	48.47635	44.06232	46.37649	51.40136	43.29646	44.22148	47.18802	47.09631	45.15696	48.03559	46.97983	49.78621	46.79221	47.48003	46.99837	47.46758	45.22557	30.92693	20.60198	21.85849	53.58835	22.37502	22.97588	13.12932	58.13949	30.79062	44.39182	22.59462	75.17364	34.03685	91.90152	65.16045	66.63371	41.57269	19.39558	25.25392	10.64084	50.74273	29.79022	43.05844	88.33946	91.06	77.19117	69.74518	15.56938	17.71731	9.911226	61.11103	56.14782	44.87673	31.60233	75.16375	57.23999	36.34784
14/01/2017 20:00:00	33	40.18139	45.15814	48.34499	45.79122	48.68035	50.24584	45.7736	47.63224	51.05428	46.98733	50.59195	53.97087	46.66486	47.42942	50.61829	51.09588	48.48313	50.89909	49.04805	51.59063	50.72379	51.3591	51.28741	50.98523	47.67167	32.52415	20.58501	22.3378	54.41399	22.79762	24.03679	12.89681	61.10757	33.31425	46.98392	22.111	77.4379	35.29769	93.99327	67.54059	69.24644	42.18839	18.47915	26.78042	10.69388	52.20747	31.81065	43.6671	89.47636	92.85694	79.24043	70.57207	15.40687	18.41257	9.619533	62.81755	58.69695	46.4981	31.55785	78.62334	60.36034	38.50812
14/01/2017 23:00:00	36	41.87086	48.23508	51.19175	48.75634	50.34438	53.46755	49.54686	50.08581	54.24297	51.5798	53.15898	57.5229	48.98841	51.39876	54.24332	53.39742	51.57014	55.46964	53.50249	54.11627	53.2187	55.01528	54.35326	54.9482	50.39549	33.52517	22.02936	22.96549	56.32232	25.43789	24.42629	12.18034	63.368	35.53617	49.23819	22.88618	78.85059	36.88514	95.01612	69.86718	71.61384	44.14995	20.96877	27.17611	11.19536	56.04753	32.42942	47.2473	91.30167	94.04005	80.50694	72.32446	16.24162	19.15722	9.62639	64.47896	61.66069	47.38777	32.96229	80.88528	63.92926	40.63081
15/01/2017 02:00:00	39	43.78529	51.63314	53.21901	51.2193	54.36592	57.22715	51.33478	52.24594	58.44843	54.73969	56.34437	60.87405	52.45501	53.67345	57.43673	56.26177	54.49991	58.04372	56.85055	58.41488	57.49169	58.27776	57.69399	57.22806	53.58044	33.75083	22.15447	24.05927	58.46574	26.20997	26.47108	12.56239	66.21591	35.01036	51.9472	24.27441	79.87609	37.62955	96.08784	72.6629	74.94185	44.70247	21.6748	27.60207	11.31076	57.55052	33.491	47.02514	92.39311	94.94253	82.26339	72.98181	16.64126	19.52018	10.13615	66.25858	63.38407	49.06687	34.3833	83.79317	66.04601	43.18217
15/01/2017 05:00:00	42	46.87997	54.36628	56.63015	54.7247	57.98399	60.41509	55.05996	55.43283	62.57373	57.13213	59.73067	64.86552	55.74879	56.43832	61.5407	60.10182	58.40123	62.08817	59.67761	62.25165	61.27514	62.45947	60.9701	61.55926	56.66601	34.48769	21.97005	25.0112	58.68035	26.81411	27.08654	12.93085	68.62788	36.86831	54.41048	25.31564	81.13347	39.96334	97.21809	74.79485	77.73208	45.73319	21.57279	27.90098	11.3421	60.86895	35.1029	50.59081	94.23977	95.45029	82.82715	74.58094	16.9396	20.10467	9.503745	68.93543	65.36498	50.86939	35.4248	86.48615	69.20116	46.35349
15/01/2017 08:00:00	45	49.58549	57.55721	60.24644	57.12604	60.41595	62.80938	59.40696	58.42948	67.01537	60.48273	62.12133	66.3894	58.77013	59.96273	64.81443	64.3063	61.45987	64.32156	64.02998	66.85581	62.94627	66.14206	63.64318	64.16457	60.67873	35.6475	24.30485	25.43709	58.75718	27.52987	28.77239	13.22549	71.4195	36.36082	57.0908	24.92505	82.50617	42.28001	97.70901	76.87167	79.7824	47.0626	21.66859	28.91271	12.13094	62.32745	36.73932	51.71173	94.25165	97.28698	84.47784	75.81663	17.22022	19.56661	10.60674	71.16458	67.33335	52.59499	36.53299	89.0932	70.49316	47.51683
15/01/2017 11:00:00	48	51.00769	60.1912	63.05602	60.84564	64.68079	67.00374	61.63084	62.82399	68.94747	63.47139	65.49092	72.25837	63.18821	63.63272	69.07216	67.50567	65.94682	68.77744	66.74741	68.26186	68.82298	69.45078	66.41577	69.03889	64.24094	35.9298	23.37286	26.49254	60.30458	28.43261	29.21448	11.95104	74.05505	38.32676	59.72093	25.0561	85.69478	44.14865	98.07545	78.01791	81.98714	49.19197	19.07179	30.7604	12.62257	65.73461	38.83847	49.77157	94.35547	97.04955	86.57824	76.95029	17.75579	20.62666	9.593623	71.02087	70.03006	53.66668	37.45005	90.63167	74.07475	50.55635
15/01/2017 14:00:00	51	53.977	63.56223	67.03906	62.28233	67.16595	70.31456	64.87215	65.79288	72.66726	66.77456	69.23425	74.64732	66.87137	67.57064	73.02931	70.06651	68.92812	71.49815	68.79657	72.37591	73.12144	72.69047	71.38018	73.15119	67.73666	36.68124	23.59494	27.21646	61.53999	29.37224	30.59219	12.85618	76.22641	39.22714	62.40973	26.25736	85.37962	46.79802	98.7834	79.68331	84.01622	48.76978	19.26781	31.26117	12.6451	66.41433	40.11543	51.09081	95.40786	97.66409	86.86408	77.44704	17.47088	20.84665	9.806204	72.56319	72.10338	55.35845	38.56715	92.45592	77.39909	52.79295
15/01/2017 17:00:00	54	58.10628	66.3932	69.69869	66.38508	70.30482	72.81617	68.3552	68.90019	76.70726	70.28828	71.9612	78.05922	69.7656	70.79984	76.41463	74.26153	72.17842	74.48664	72.53065	76.1608	75.44181	76.16656	74.07043	76.3498	69.96503	38.57828	25.4215	27.91769	63.09157	31.16028	32.02655	12.40555	78.5174	40.81288	64.78912	26.39273	86.52502	47.80113	99.21915	81.55257	86.20217	52.16009	19.60573	31.42722	12.97972	70.16113	42.12706	52.40106	96.10591	98.33671	87.02558	78.74851	18.46994	21.69129	10.5372	74.04441	73.12009	56.67527	39.74968	93.65659	78.74366	56.42654
15/01/2017 20:00:00	57	59.81347	69.52877	73.60915	70.3543	73.95038	76.52402	69.45144	73.33435	80.13274	72.95249	75.96886	81.07782	73.01766	73.20925	79.42338	77.77437	74.75009	77.8012	75.30118	79.52969	79.23788	79.29032	78.13249	79.19663	73.45498	38.4152	25.59448	29.2074	63.35408	31.7909	33.69165	12.29381	79.86204	39.57608	67.39619	26.38173	88.83226	49.26415	99.49611	83.61579	87.9547	52.28191	20.50354	33.83361	13.99974	70.96294	44.07833	52.71404	95.50397	98.50444	88.93784	78.97568	18.08704	21.25271	9.942762	77.17966	75.31409	59.28948	41.05246	95.65218	80.2753	59.36681
