PlateID,SampleID,Target,Well,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93
GED-PLA-00000001,GED-SAM-00000029,STAT3.3,C05,24.21092,24.85703,25.96618,26.9243,28.1557,29.32649,30.38257,31.49562,33.45179,35.03818,35.59172,37.63995,39.08984,40.77947,42.38667,43.81025,45.98201,47.14793,50.06739,52.15527,53.35812,56.1836,56.71238,58.50502,60.7546,63.24809,63.60546,68.08252,68.93254,70.88762,73.06245,73.97536
GED-PLA-00000001,GED-SAM-00000030,STAT3.3,C06,4.98358,4.898201,4.766017,4.824908,5.156557,4.684655,5.265886,4.726766,5.457507,5.373157,4.767303,5.334066,4.465033,5.351841,4.020263,5.593771,5.656583,5.369298,5.829919,5.223486,5.466671,5.048195,4.983291,4.339056,4.106834,4.97429,5.53231,5.128398,5.52437,5.587602,5.334227,5.171728
GED-PLA-00000001,GED-SAM-00000031,STAT3.3,C07,45.12844,45.46541,45.91658,47.10579,47.38662,48.00979,48.37355,49.21896,49.17521,49.9034,50.80375,52.18117,53.56446,54.03181,55.04609,56.06252,58.1628,58.88213,59.66935,61.28292,62.46917,64.11497,64.85764,66.65344,68.24225,69.66277,70.93517,72.18988,73.50188,75.10112,76.76492,78.50477
GED-PLA-00000001,GED-SAM-00000032,STAT3.3,C08,61.05431,63.12811,66.21125,68.80424,71.05172,72.86845,75.23341,77.97325,80.95145,83.26833,85.88013,87.53014,90.04301,91.71503,93.6446,94.46483,95.55313,96.43154,97.30022,97.60242,98.36483,98.67086,98.85143,98.9297,99.05687,99.59245,99.51218,99.71098,99.74737,99.85103,99.86168,99.87193
GED-PLA-00000001,GED-SAM-00000033,STAT3.3,C09,27.03906,27.19507,27.95927,28.51964,29.68948,30.67355,30.85341,32.34064,33.86872,35.12405,36.07168,37.24011,38.70357,39.97247,42.36191,43.80006,44.73724,46.6917,48.08907,49.93238,51.98445,53.52019,55.94188,57.37008,59.06058,61.25088,63.47248,65.095,66.58646,69.07377,71.19991,73.08515
GED-PLA-00000001,GED-SAM-00000034,STAT3.3,C10,9.012427,9.031072,9.073664,8.936853,9.025285,9.357381,9.306466,9.486585,8.987127,8.947523,8.701543,9.643225,8.840544,9.162387,9.048079,9.140238,9.080925,9.379244,8.851954,9.303153,9.685596,8.762108,9.760203,9.48269,8.879858,9.362691,8.817946,9.413733,8.513685,9.425758,9.902069,8.090222
GED-PLA-00000001,GED-SAM-00000035,STAT3.3,C11,19.81061,19.5327,20.23495,20.50712,21.23766,21.47368,22.58975,23.11217,23.52225,24.49966,25.59636,26.31923,28.20837,27.87206,29.20096,30.07948,30.58964,32.96709,32.19556,33.7859,34.20432,35.24443,37.53283,38.29149,38.37978,39.23911,40.38497,41.85526,42.68841,44.32233,45.56381,48.01863
GED-PLA-00000001,GED-SAM-00000038,STAT3.3,D02,10.84021,9.371752,10.38207,10.38182,10.19015,10.86085,10.08546,10.60583,10.82734,10.86647,10.04878,11.95817,12.01157,11.27358,12.02064,13.71367,12.87553,12.92356,12.91179,13.80939,15.3386,14.87839,15.65388,15.2479,16.88037,15.72212,16.8795,17.18466,17.33097,19.29172,19.20888,18.8581
GED-PLA-00000001,GED-SAM-00000039,STAT3.3,D03,11.15,10.83793,11.17421,11.27874,11.45853,11.38248,12.09165,12.16058,12.09647,12.26218,12.68156,13.38368,13.49221,13.55063,13.6251,14.04909,14.60372,15.17315,15.34638,15.56177,15.87738,15.70005,16.4209,16.9722,17.64479,18.07185,17.84582,18.81378,19.1784,19.70891,19.47727,20.18695
GED-PLA-00000001,GED-SAM-00000040,STAT3.3,D04,22.23606,23.13788,24.1035,25.03795,26.0931,26.89567,27.64637,29.51815,31.35441,33.16298,33.86664,35.71671,37.4661,39.51814,40.29119,43.24918,45.24182,46.61339,48.93509,50.70454,51.73265,55.02388,56.42207,58.19845,60.50472,62.75695,65.12979,65.81117,68.26655,70.7009,73.75362,75.69503
