Image Name:	180117_MCF7_luc_straw_clone3_CRISPR_plate5										
Acquire Time:	Jan 18, 2017 03:26:00 PM										
											
Signal Channel 700											
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520	Err:520
											
Signal Channel 800											
798.1286315918	15.4919433594	10.7531585693	13.9790344238	10.1801147461	7.622833252	7.4838867188	6.2064056396	9.7757873535	3.6216583252	0	-2.8343963623
5.2325744629	475.0323486328	101.8288574219	246.499420166	240.5668334961	49.4074401855	430.1666259766	25.3881835938	8.8905487061	320.499786377	55.2032165527	-2.4520187378
6.2012634277	277.5468444824	125.4255981445	671.5191345215	339.399810791	56.2730712891	557.4716186523	98.9030761719	96.2088623047	30.0177459717	348.8505706787	2.1139526367
5.4764404297	102.1193237305	89.956451416	48.7132263184	166.013458252	10.2499694824	23.8032836914	1101.3943786621	412.578338623	6.5104522705	30.2929992676	-2.9654541016
3.9918823242	68.8015441895	33.2019042969	421.6824951172	1067.6006774902	59.4819641113	653.6204223633	44.7304992676	100.098449707	670.0966491699	194.9114685059	0.1522369385
1.5209655762	218.5491333008	35.5999450684	16.095703125	77.5799865723	179.2843017578	16.0422668457	379.8153381348	9.7365722656	169.499786377	20.7122802734	-3.3928222656
3.1911621094	5.3417510986	21.7258605957	13.4771118164	132.6300048828	11.2519454956	492.8261413574	77.8085021973	397.7173461914	235.4335632324	-0.853302002	0.0749511719
