Label: 100pmol donor 1:5 dilution

Date Time	Elapsed	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12
29/01/2019 11:00:00	0	56.99463	36.00852	7.38941	0.5343031	17.54933	15.03702	14.65345	22.36588	1.055551	2.100672	30.58203	26.44879	18.64964	1.693882	31.3617	19.00392	19.85761	25.621	26.84509	21.86609	39.79627	43.79198	22.38159	23.46595	35.42225	43.60561	38.05953	39.93208	20.05092	27.77541	2.268387	0.8634504	23.09267	5.930802	27.96703	1.809585	2.315015	28.44329	5.518692	14.48312	1.948497	2.756549	14.81315	40.20466	1.369156	17.74819	12.93994	0.7172166	5.119986	11.66535	24.28562	12.22176	1.968874	30.63267	23.55556	0.8690454	0.8325735	1.249724	42.71518	3.088251	2.046516	2.164498	1.612027	41.66211	24.34254	21.02765	1.524784	1.898969	7.390029	8.324076	1.520433	1.214771	0.8077062	0.8718088	19.10408	15.46931	9.619878	23.31557	1.894618	11.60091	1.20289	6.647877	11.76689	14.78489	19.35096	14.60944	15.48629	23.14456	10.9348	5.691732	11.45294	6.900906	5.308077	12.84586	6.726556	53.57295
29/01/2019 14:00:00	3	64.39426	35.32715	7.714274	0.4973474	17.02751	15.21234	14.59258	22.50994	0.9117348	2.160698	30.74131	26.25096	18.79034	1.689945	31.78927	19.77496	21.14866	25.96494	25.99208	21.8308	40.55804	43.3765	22.51664	21.48313	36.55468	42.84599	36.79247	38.97213	19.33405	27.23379	2.086649	0.7689544	23.04217	6.003815	27.41526	1.568026	2.282687	27.88095	5.604968	14.65157	1.897588	2.655145	15.67425	38.81509	1.325984	18.50568	13.1402	0.8204161	5.430691	11.78064	23.57772	11.81753	1.992498	30.81005	23.9886	0.8223502	0.666791	0.9674788	45.56413	3.16976	2.10081	2.204216	1.533902	41.45585	25.22292	21.73465	1.400448	1.72545	7.339192	8.61192	1.498397	1.191907	0.725091	0.7796612	19.35283	15.47808	9.459895	22.17168	1.703691	11.19944	1.045466	6.80765	11.28737	14.24175	18.87384	14.52911	15.01209	22.32558	11.38338	5.533265	11.62149	7.402743	5.269673	12.93297	6.135472	60.32438
29/01/2019 17:00:00	6	71.78307	35.18031	7.490469	0.4497541	16.66624	15.66043	14.68612	22.00043	1.06757	2.135209	31.27991	26.4169	18.85106	1.328539	32.44157	20.66002	22.93422	25.86642	24.85357	21.83625	40.91791	42.5011	23.18614	21.99574	38.04226	42.21945	35.76937	38.12763	19.24355	26.26921	2.131341	0.860204	22.97656	6.188936	27.35708	1.124765	2.382916	28.10482	5.67743	14.56676	2.182112	2.731059	16.40114	37.64409	1.261743	19.43945	13.21197	0.7241241	5.644064	12.32261	23.51382	11.74051	2.031457	30.70596	24.76321	0.7257128	0.8326424	1.050301	48.75567	2.748327	1.914719	2.177898	1.427871	40.83559	26.07876	22.6546	1.224096	1.838942	7.550215	8.957366	1.492112	1.059903	0.6585709	0.8284981	20.245	15.64331	9.738954	22.35708	1.739128	11.16483	1.0235	7.031666	11.39962	13.88788	18.66228	14.0232	14.63473	22.37109	11.75723	5.631767	11.97509	7.69597	5.256619	13.0254	5.648139	67.84019
29/01/2019 19:59:00	8.98333333333333	80.72074	35.76266	7.421249	0.4761412	16.25145	16.27445	14.62837	22.04119	1.107703	2.225905	32.05088	26.76703	19.08226	1.153984	33.2338	21.54633	25.11461	26.51318	25.85945	22.40454	42.0485	43.07256	23.81402	22.4757	41.18451	42.38336	35.33661	38.12114	19.26103	25.85385	2.238408	0.7234333	23.3819	5.91139	27.44054	1.084356	1.580114	27.95121	5.719084	14.97555	2.167468	2.725326	17.15275	37.27661	0.9741102	20.59081	13.59065	0.6808133	6.070403	12.6852	24.2034	12.14992	2.061643	30.92052	25.91802	0.7466427	0.7618397	1.187486	52.54733	2.261895	2.012737	2.291598	1.585364	41.32065	27.45545	23.9022	0.95021	1.700445	7.901332	9.348541	1.386494	1.089743	0.8011438	0.8010746	21.32108	15.61989	9.741102	22.76617	1.453222	10.75818	1.076688	7.336018	11.47953	13.62753	18.39666	13.57869	14.10761	22.24347	12.42201	5.767153	12.27377	7.829009	5.119019	13.467	29.30123	76.23906
29/01/2019 23:01:00	12.0166666666667	89.08681	36.97204	7.453307	0.4083084	16.07351	16.73104	14.75437	22.13093	1.358104	2.129821	33.67069	27.49282	19.65448	1.037177	35.67923	22.94112	27.66047	27.41353	24.38314	22.49695	43.13294	43.80093	24.63804	23.09889	44.90688	43.3558	35.77473	38.61289	19.14159	25.91962	2.128924	0.7660533	23.9019	6.066672	28.17482	1.127735	1.052719	28.25582	5.7378	14.80997	2.434723	2.702324	17.93345	37.34134	0.9996684	22.07925	14.21405	0.6588473	6.207793	13.25328	25.03711	12.65273	1.83086	30.79957	27.29084	0.6891716	0.8213138	1.180026	56.42421	2.265902	1.697336	2.163462	1.601321	43.68119	29.03867	25.05678	0.8630359	1.49225	7.749295	9.766528	1.493009	1.173947	0.8108143	0.731239	23.02919	16.01721	9.744828	22.78377	1.675923	10.92141	1.069366	7.622542	11.16594	13.71442	18.79932	13.90549	14.06188	22.88717	12.85333	5.686203	12.87426	8.121755	5.442983	13.93831	4.692956	84.07652
30/01/2019 02:00:00	15	94.81854	38.80145	7.484525	0.5314711	16.16276	17.69915	14.78834	22.13319	1.526926	2.283377	36.1669	28.83841	20.52588	1.011412	38.10497	24.59956	30.64385	28.26558	23.91233	23.15097	44.83121	45.41267	25.44389	24.0956	49.63572	44.68541	36.37605	40.42828	19.46797	26.36972	2.05743	0.7453995	24.61551	6.371092	29.00386	0.7652932	0.8554376	29.32996	5.739046	15.63149	2.58669	2.723185	19.23353	38.18034	0.9571865	24.21653	15.26291	0.5760943	6.87528	13.78537	26.75799	13.102	1.371298	32.19102	29.38902	0.7374557	0.8491517	1.201578	61.62535	2.372831	1.405214	2.202421	1.436091	46.43457	31.06681	26.85034	0.7509947	1.331371	7.629726	10.3574	1.507723	1.107013	0.8671805	0.7653624	24.33771	16.30147	10.3248	22.65998	1.630747	10.92975	0.9502099	8.210933	11.42738	13.96889	19.2812	14.86069	13.8751	23.71145	13.37548	5.743811	13.33085	8.474937	5.578444	14.54893	7.673864	90.01265
30/01/2019 05:00:00	18	97.9054	41.36204	7.604167	0.5144092	16.43251	18.57302	15.28625	22.55954	1.466346	2.157728	39.6082	29.95525	21.07172	0.9582229	41.35582	26.66536	33.64508	29.65725	24.45473	23.54429	47.25206	48.68348	26.47444	25.89124	54.99489	46.91471	37.44761	43.46103	19.58989	27.53716	2.080777	0.7283378	25.46903	6.479058	30.71936	1.048367	0.8651774	30.1519	5.8028	15.82788	2.515681	2.747017	20.37778	40.19651	0.6837147	26.32288	16.19771	0.6263815	7.535161	14.46163	28.22357	13.34639	1.373992	33.0609	32.43196	0.6656168	0.8511549	1.153224	66.26666	2.186948	1.153225	1.88101	1.294692	50.37551	33.08922	29.20576	0.7351762	1.196811	7.943058	10.71535	1.431946	1.142517	0.8521219	0.6928327	26.31861	16.92224	10.66596	23.4435	1.673229	11.22327	1.021497	8.864041	11.55725	14.09282	19.97027	14.85839	14.09381	24.53421	14.33113	5.999326	14.06485	9.025677	5.655736	14.98177	4.833941	94.75671
30/01/2019 08:00:00	21	99.41209	44.74075	7.827423	0.5113008	16.63068	19.93494	15.4823	22.9622	1.379794	2.200555	43.7632	31.65667	22.02593	0.7701976	45.67556	28.81299	37.04755	31.17766	24.62719	24.55668	49.6641	52.36669	27.25926	27.06453	61.14735	50.13324	38.42494	47.10778	20.03406	29.18221	1.922386	0.6299735	26.41939	6.691883	32.90113	0.9551143	0.8195181	31.58549	5.788708	16.79755	2.570389	2.862857	22.04969	42.32379	0.7513402	28.69985	17.57391	0.5872844	7.813678	15.0049	29.92007	13.78917	1.193565	34.32234	35.15231	0.7368342	0.8999226	1.150185	70.92474	2.044098	1.234665	1.826647	1.158267	54.73735	35.54466	31.72226	0.6083527	1.145281	7.892281	11.32391	1.246615	1.078553	0.9072446	0.741255	28.56052	17.39189	10.9393	23.75997	1.710738	11.1687	1.087533	9.276708	11.96225	14.26883	20.67445	15.33301	14.42591	25.58292	15.26263	6.06854	14.87525	9.554943	5.613049	15.56967	5.058164	97.22004
30/01/2019 11:00:00	24	99.81503	48.41222	7.863064	0.727647	17.1819	21.31722	15.86234	23.56607	1.566506	3.239458	50.06251	33.8203	23.05461	0.8695291	50.92654	31.90042	39.92028	33.48363	25.82712	25.53052	52.23195	57.41433	28.31842	29.24274	67.37164	52.9898	40.03844	51.88447	20.19847	31.12677	1.860494	0.6654094	27.59297	6.793283	34.9621	0.9542163	0.9295561	33.84499	5.873811	17.57682	2.740248	2.880677	23.41796	45.45246	0.6709356	31.42724	19.30751	0.6180233	8.247887	15.93847	32.22886	14.55598	1.056103	36.27432	38.54492	0.7793156	0.9306614	1.089813	75.43163	2.136867	1.119861	1.721098	1.106805	59.656	38.52372	34.61324	0.7258511	1.109292	8.164582	11.76137	1.241504	1.015072	0.9997377	0.7327588	31.01576	18.16823	11.43575	24.56311	1.691879	11.24972	0.9790836	9.838705	11.97551	14.68958	21.64741	16.1461	14.68901	27.5757	16.52058	6.258913	15.71859	10.07474	5.647242	16.43768	4.872278	98.51617
30/01/2019 14:00:00	27	99.99647	53.01818	8.010816	0.576992	17.15254	23.05378	16.31534	23.76761	1.542675	2.396041	56.02325	36.75634	24.44518	0.8443854	57.19799	35.16386	43.68388	36.36046	26.9101	27.12893	55.05438	63.20887	29.66208	31.31032	73.11106	57.10422	41.73084	57.65516	20.72447	33.25785	1.879558	0.6645114	28.79531	6.886399	38.0591	0.8474247	0.9577392	35.85504	5.734832	18.94314	2.753923	2.8498	25.30677	48.90832	0.6060732	35.00669	21.55498	0.6010996	8.797453	16.63814	35.38103	15.25897	0.9777021	38.6519	41.99244	0.8316754	0.9173297	1.103697	80.02445	2.091761	1.019217	1.576453	1.20814	65.21697	41.67639	37.73873	0.7038848	1.100036	8.425344	12.23199	1.201854	1.133676	1.044084	0.736765	34.06138	19.06208	11.94041	24.77114	1.648845	12.25098	1.038213	10.28467	12.66136	14.96809	22.70675	16.48672	15.13111	30.28326	17.49669	6.360454	16.96281	10.81316	5.764673	17.40902	4.972922	99.44484
